Title;Recruiter;Salary;Position;Location;Date Posted
Data Engineer;Recru-it;R Undisclosed;Permanent Intermediate position;South Africa;Posted 16 Jun 2024
Data Engineer;MIT Recruitment;Undisclosed;Permanent Senior position;Cape Town CBD;Posted 16 Jun 2024
2050 - AWS Data Engineer;Jordan HR;R Undisclosed;Permanent Senior position;Pretoria;Posted 15 Jun 2024
Data Engineer;Psybergate Pty Ltd;R Undisclosed;Contract Senior position;South Africa;Posted 14 Jun 2024
Data Engineer;GoldenRule;R Undisclosed;Permanent Senior position;Johannesburg;Posted 11 Jun 2024
Product Data Engineer;Datafin;R Undisclosed;Permanent Senior position;Stellenbosch;Posted 11 Jun 2024
AWS Data Cloud Engineer;Psybergate Pty Ltd;R Undisclosed;Contract Senior position;South Africa;Posted 14 Jun 2024
Junior Data Engineer;Recru-it;R Undisclosed;Permanent Junior position;Midrand;Posted 17 Jun 2024
Junior Data Engineer;GoldenRule;R Undisclosed;Permanent Senior position;Johannesburg;Posted 16 Jun 2024
Intermediate - Senior Data Engineer (JHB - Hybrid);iOCO Digital Talent;R Undisclosed;Permanent Senior position;Johannesburg;Posted 12 Jun 2024
Senior Data Engineer;Yazoo Recruitment;R Undisclosed;Permanent Senior position;Stellenbosch;Posted 11 Jun 2024
Senior Data Engineer (CPT Hybrid);Datafin;R Undisclosed;Permanent Senior position;Stellenbosch;Posted 10 Jun 2024
Process Data Science Services Engineer;Datafin;R Undisclosed;Permanent Executive position;Somerset West;Posted 17 Jun 2024
AWS Data Cloud Engineer (big Data Engineer);GoldenRule;R Undisclosed;Contract Senior position;Johannesburg;Posted 15 Jun 2024
AWS Data Cloud Engineer (Big Data Engineer);Praesignis (Pty) LTD;R Undisclosed;Contract Senior position;Johannesburg;Posted 14 Jun 2024
Data Analytics Engineer/ Specialist;Hi-Tech Cape Town;R Undisclosed;Permanent Intermediate position;Gauteng;Posted 14 Jun 2024
Intermediate Data Scientist & Machine Learning Engineer;Sinakho Staffshop (Pty) Ltd;Undisclosed;Permanent Intermediate position;Sandown;Posted 15 May 2024
Product Manager (Data) at Parvana Recruitment;Parvana Strategic Sourcing;R Undisclosed;Permanent Senior position;Cape Town;Posted 15 Jun 2024
BI Business Analyst (JHB);iOCO Digital Talent;R Undisclosed;Permanent Senior position;Gauteng;Posted 12 Jun 2024
BI Developer;RecruiTech;R30,000 - R35,000 per month;Permanent Intermediate position;KwaZulu-Natal;Posted 18 Jun 2024
Data Architect at Parvana Recruitment;Parvana Strategic Sourcing;R Undisclosed;Permanent Senior position;Cape Town;Posted 17 Jun 2024
Financial Analyst Developer (SQL);Datafin;R Undisclosed;Permanent Executive position;Claremont;Posted 18 Jun 2024
DBA Specialist (Linux) at Parvana Recruitment;Parvana Strategic Sourcing;R Undisclosed;Permanent Intermediate position;Johannesburg;Posted 18 Jun 2024
Data Scientist;Resourgenix;R Undisclosed;Contract Senior position;Cape Town Region;Posted 18 Jun 2024
Data Scientist;Resourgenix;R Undisclosed;Permanent Management position;Cape Town Region;Posted 18 Jun 2024
